number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
45,0.7425716638108535,2026-08-26 23:52:59.952177,2026-08-26 23:53:00.952517,0 days 00:00:01.000340,0.00019047328027897028,,log_loss,15,0.8,5,6,best,0.7425716638108535,0.009490688913199555,"[0.7485306567437792, 0.7536453118936496, 0.7279553995031603, 0.7352122161918807, 0.7475147347217979]",COMPLETE
46,0.7561333330510238,2026-08-26 23:53:00.952824,2026-08-26 23:53:02.258534,0 days 00:00:01.305710,0.00022515464222252658,,log_loss,18,,8,3,best,0.7561333330510238,0.008390373385378635,"[0.7537971705048262, 0.7720802183101195, 0.7549385450813414, 0.7473056532185782, 0.7525450781402537]",COMPLETE
47,0.5908017736719675,2026-08-26 23:53:02.258861,2026-08-26 23:53:03.641906,0 days 00:00:01.383045,0.004104035366052291,,log_loss,18,,1,5,best,0.5908017736719675,0.0023091982437756548,"[0.5940443466488791, 0.5912474931933106, 0.5874074862490367, 0.5921354180607123, 0.5891741242078989]",COMPLETE
48,0.7203345577479862,2026-08-26 23:53:03.642218,2026-08-26 23:53:04.835166,0 days 00:00:01.192948,0.00025592524549474145,,log_loss,16,,21,2,best,0.7203345577479862,0.008209569165724457,"[0.715780134527856, 0.7357200044155233, 0.7211350235129705, 0.7121477507937617, 0.7168898754898195]",COMPLETE
49,0.7079100627666056,2026-08-26 23:53:04.835492,2026-08-26 23:53:06.007286,0 days 00:00:01.171794,8.545769347826296e-06,,log_loss,12,,10,6,best,0.7079100627666056,0.009854923800071259,"[0.7032877611258325, 0.7262293225387855, 0.7063977877193279, 0.6967129960743393, 0.7069224463747429]",COMPLETE
50,0.7291924930435184,2026-08-26 23:53:06.007927,2026-08-26 23:53:07.264354,0 days 00:00:01.256427,0.00010121974731458862,,log_loss,17,,17,22,best,0.7291924930435184,0.005863961713588361,"[0.7283492130925877, 0.7384180287174092, 0.721186216764365, 0.7323164110208918, 0.725692595622338]",COMPLETE
51,0.7383751331767916,2026-08-26 23:53:07.264681,2026-08-26 23:53:07.767223,0 days 00:00:00.502542,2.9449165287914546e-05,,log_loss,21,0.4,7,10,best,0.7383751331767916,0.013716695241493217,"[0.7412120403110757, 0.7519988970169779, 0.7461543265804694, 0.7402691635952562, 0.7122412383801793]",COMPLETE
52,0.7203341508083483,2026-08-26 23:53:07.767553,2026-08-26 23:53:08.048908,0 days 00:00:00.281355,4.0821118481749396e-05,,log_loss,18,log2,4,6,best,0.7203341508083483,0.00712939968008492,"[0.7195692067306073, 0.7149636075173486, 0.7341006531644044, 0.7182623523388377, 0.7147749342905433]",COMPLETE
53,0.7329446472428012,2026-08-26 23:53:08.049223,2026-08-26 23:53:09.031071,0 days 00:00:00.981848,6.808115462528129e-08,,log_loss,16,0.8,11,17,best,0.7329446472428012,0.006984850083990395,"[0.7228074509454965, 0.7431226145046356, 0.73735437565787, 0.7286899013017768, 0.7327488938042269]",COMPLETE
54,0.6687457535032698,2026-08-26 23:53:09.031417,2026-08-26 23:53:09.255343,0 days 00:00:00.223926,1.704183342263618e-05,,gini,22,sqrt,7,90,best,0.6687457535032698,0.005846268368402076,"[0.6778886253989175, 0.6675279396836314, 0.6712274388707972, 0.6599709552202957, 0.6671138083427076]",COMPLETE
55,0.7186821326934602,2026-08-26 23:53:09.255657,2026-08-26 23:53:10.180601,0 days 00:00:00.924944,7.866735789771315e-05,,log_loss,13,0.8,13,25,best,0.7186821326934602,0.005260395710900899,"[0.7218952905659299, 0.7226043220103032, 0.7240614498017353, 0.710780811670965, 0.7140687894183673]",COMPLETE
56,0.7494429903048302,2026-08-26 23:53:10.180965,2026-08-26 23:53:10.990829,0 days 00:00:00.809864,0.0001759975587891604,,log_loss,19,0.6,1,13,best,0.7494429903048302,0.007523505099767116,"[0.7419135791175502, 0.751603855287323, 0.7617843559102222, 0.7412113269533133, 0.7507018342557424]",COMPLETE
57,0.6693540306497398,2026-08-26 23:53:10.991158,2026-08-26 23:53:11.070322,0 days 00:00:00.079164,0.0003742883683594934,balanced,log_loss,23,0.8,17,5,random,0.6693540306497398,0.009424355230147393,"[0.6866818231877873, 0.6623987846189816, 0.6597632197081751, 0.6702231839313533, 0.6677031418024018]",COMPLETE
58,0.7478602616289469,2026-08-26 23:53:11.070677,2026-08-26 23:53:12.201051,0 days 00:00:01.130374,7.3547682145448425e-06,,gini,21,,10,18,best,0.7478602616289469,0.007827118545041787,"[0.7369321855882789, 0.7608034760086259, 0.7497756036061188, 0.7478920701075021, 0.7438979728342084]",COMPLETE
59,0.6703841331193363,2026-08-26 23:53:12.201378,2026-08-26 23:53:13.054469,0 days 00:00:00.853091,4.410687443921569e-06,balanced,log_loss,19,0.8,58,2,best,0.6703841331193363,0.007143187609262812,"[0.6821973996036106, 0.6696189074804968, 0.6607284866178579, 0.6729117473897941, 0.6664641245049224]",COMPLETE
60,0.7459936285240645,2026-08-26 23:53:13.054829,2026-08-26 23:53:14.076602,0 days 00:00:01.021773,6.398721455812e-05,balanced,log_loss,15,0.8,5,14,best,0.7459936285240645,0.006277210729918325,"[0.7418135685475532, 0.7549591867889376, 0.7463645398651658, 0.7368682532909546, 0.7499625941277112]",COMPLETE
61,0.7532240074861003,2026-08-26 23:53:14.076930,2026-08-26 23:53:15.102335,0 days 00:00:01.025405,2.382659809438025e-05,balanced,log_loss,18,0.8,8,20,best,0.7532240074861003,0.010589525342032594,"[0.7469955532922201, 0.7692411856065849, 0.7605693795994775, 0.7389734973512748, 0.7503404215809443]",COMPLETE
62,0.7492058410569954,2026-08-26 23:53:15.102672,2026-08-26 23:53:16.142096,0 days 00:00:01.039424,3.112535126591868e-05,balanced,log_loss,18,0.8,8,21,best,0.7492058410569954,0.0068860426870875876,"[0.7487922674240678, 0.7622248117546179, 0.744553402891161, 0.7478895608253081, 0.7425691623898221]",COMPLETE
63,0.7429133873413223,2026-08-26 23:53:16.142421,2026-08-26 23:53:17.144514,0 days 00:00:01.002093,1.7810493602028345e-05,balanced,log_loss,17,0.8,13,9,best,0.7429133873413223,0.00904761524719578,"[0.7316153027943901, 0.7581406280445459, 0.7395645590811828, 0.7382415517092039, 0.7470048950772886]",COMPLETE
64,0.7464848315707732,2026-08-26 23:53:17.144878,2026-08-26 23:53:18.192734,0 days 00:00:01.047856,0.00012845624087521942,balanced,log_loss,16,0.8,4,26,best,0.7464848315707732,0.006248597866495082,"[0.7483012731180629, 0.7420581839504564, 0.7367343395119192, 0.7533227074016214, 0.752007653871806]",COMPLETE
65,0.7261546212803653,2026-08-26 23:53:18.193059,2026-08-26 23:53:18.683870,0 days 00:00:00.490811,6.326625150771534e-05,balanced,log_loss,21,0.4,10,16,best,0.7261546212803653,0.0074444647432634625,"[0.7167107648264247, 0.7339419990623061, 0.7320892941812481, 0.7304536443790246, 0.7175774039528234]",COMPLETE
66,0.7264177252605499,2026-08-26 23:53:18.684192,2026-08-26 23:53:19.658269,0 days 00:00:00.974077,0.0005178109417578055,balanced,log_loss,15,0.8,15,12,best,0.7264177252605499,0.0032584781052061407,"[0.7282282339659419, 0.7248600466199323, 0.7318559025608381, 0.724471259543523, 0.7226731836125145]",COMPLETE
67,0.7379205159328697,2026-08-26 23:53:19.658604,2026-08-26 23:53:20.589677,0 days 00:00:00.931073,0.00021078784616332996,balanced,gini,17,0.8,3,34,best,0.7379205159328697,0.004681013810464966,"[0.7373745667198787, 0.7395751704310826, 0.738936741438752, 0.729673583622337, 0.7440425174522981]",COMPLETE
68,0.718630333017308,2026-08-26 23:53:20.590006,2026-08-26 23:53:21.525508,0 days 00:00:00.935502,1.4174246471431852e-09,balanced,log_loss,19,0.8,23,8,best,0.718630333017308,0.0047406298943980865,"[0.7217296715441427, 0.7164374840847764, 0.7149122871943788, 0.7137045598099184, 0.726367662453324]",COMPLETE
69,0.688631455403785,2026-08-26 23:53:21.525831,2026-08-26 23:53:21.603181,0 days 00:00:00.077350,1.0252654503409948e-05,balanced,log_loss,23,0.6,7,19,random,0.688631455403785,0.004777932824469298,"[0.685116325612715, 0.6830010707697228, 0.6863809705342842, 0.6941211767629065, 0.6945377333392962]",COMPLETE
70,0.6981467418994823,2026-08-26 23:53:21.603536,2026-08-26 23:53:21.866264,0 days 00:00:00.262728,2.0516273122361764e-06,,log_loss,21,log2,12,23,best,0.6981467418994823,0.00806291866760097,"[0.6986363438761579, 0.7094956436069233, 0.6965648667192837, 0.6846245470216864, 0.7014123082733601]",COMPLETE
71,0.7532240074861003,2026-08-26 23:53:21.866571,2026-08-26 23:53:22.904734,0 days 00:00:01.038163,2.489019731489908e-05,balanced,log_loss,18,0.8,8,20,best,0.7532240074861003,0.010589525342032594,"[0.7469955532922201, 0.7692411856065849, 0.7605693795994775, 0.7389734973512748, 0.7503404215809443]",COMPLETE
72,0.744547456010389,2026-08-26 23:53:22.905084,2026-08-26 23:53:23.935594,0 days 00:00:01.030510,2.2594321187136753e-05,balanced,log_loss,17,0.8,9,15,best,0.744547456010389,0.004824558522374807,"[0.7409691460511789, 0.7536730803079404, 0.7404540297610941, 0.7449357406304679, 0.7427052833012634]",COMPLETE
73,0.7493723097563825,2026-08-26 23:53:23.935922,2026-08-26 23:53:24.997012,0 days 00:00:01.061090,4.17448695438014e-05,balanced,log_loss,19,0.8,6,11,best,0.7493723097563825,0.010070379841063794,"[0.7413533299295443, 0.7640860256278424, 0.7446190537001431, 0.738356990052258, 0.7584461494721246]",COMPLETE
74,0.7480348349588255,2026-08-26 23:53:24.997372,2026-08-26 23:53:26.045422,0 days 00:00:01.048050,5.119673771181454e-06,balanced,log_loss,18,0.8,3,27,best,0.7480348349588255,0.007391372230148124,"[0.7409783598320843, 0.7603516736768823, 0.7523587514920244, 0.7451186070831378, 0.7413667827099993]",COMPLETE
75,0.7189663051754798,2026-08-26 23:53:26.045757,2026-08-26 23:53:26.990184,0 days 00:00:00.944427,1.1516437166125025e-05,balanced,log_loss,14,0.8,18,4,best,0.7189663051754798,0.00997417283099542,"[0.7070793786901426, 0.7320870073295609, 0.7207517832829721, 0.7268434480532053, 0.7080699085215175]",COMPLETE
76,0.6070823383998545,2026-08-26 23:53:26.990510,2026-08-26 23:53:27.650163,0 days 00:00:00.659653,0.00011409654026571406,balanced,log_loss,7,0.8,15,8,best,0.6070823383998545,0.0050054321350110915,"[0.6115566507646503, 0.613262606097877, 0.6009744323509888, 0.6016934006692874, 0.6079246021164687]",COMPLETE
77,0.7092202191303327,2026-08-26 23:53:27.650492,2026-08-26 23:53:27.928327,0 days 00:00:00.277835,3.659244854440222e-05,balanced,log_loss,22,sqrt,2,32,best,0.7092202191303327,0.007306275701885467,"[0.7018830590927427, 0.7133866863823063, 0.7208598565662693, 0.701494881225142, 0.708476612385203]",COMPLETE
78,0.7446719219383049,2026-08-26 23:53:27.928708,2026-08-26 23:53:29.215518,0 days 00:00:01.286810,8.319633536861096e-05,balanced,log_loss,16,,12,21,best,0.7446719219383049,0.007320544637154525,"[0.7353360170395944, 0.7569568657091459, 0.7418310948181888, 0.7479190848770374, 0.7413165472475584]",COMPLETE
79,0.6608261380746601,2026-08-26 23:53:29.215850,2026-08-26 23:53:30.016990,0 days 00:00:00.801140,5.566486762477534e-05,balanced,log_loss,20,0.8,67,12,best,0.6608261380746601,0.0037643126819510517,"[0.6579462645153653, 0.6599020063222764, 0.6659445966306324, 0.6643306446833479, 0.6560071782216778]",COMPLETE
80,0.6693504005747621,2026-08-26 23:53:30.017309,2026-08-26 23:53:30.073972,0 days 00:00:00.056663,2.473357211175292e-05,,gini,19,0.4,6,19,random,0.6693504005747621,0.007365225686525966,"[0.6766611277345912, 0.6690556699271059, 0.6769528436798115, 0.6671915506422126, 0.6568908108900896]",COMPLETE
81,0.7484096756715464,2026-08-26 23:53:30.074305,2026-08-26 23:53:31.105959,0 days 00:00:01.031654,1.3710125411916306e-05,balanced,log_loss,18,0.8,9,19,best,0.7484096756715464,0.005356814168391605,"[0.740580002887992, 0.750994754065284, 0.7504594467131902, 0.7557597334558123, 0.7442544412354533]",COMPLETE
82,0.7466956385829215,2026-08-26 23:53:31.106283,2026-08-26 23:53:32.145534,0 days 00:00:01.039251,2.55934619303459e-05,balanced,log_loss,17,0.8,8,16,best,0.7466956385829215,0.008197443903241996,"[0.7371204833929194, 0.760669960244876, 0.739915815482958, 0.7482216793129596, 0.7475502544808945]",COMPLETE
