run_index,run_name,held_out_site,model,dataset,n_source_rows,n_evaluated_rows,dropped_incomplete_rows,actual_total_cloud_rows,actual_water_rows,predicted_total_cloud_rows,predicted_water_rows,true_total_cloud_predicted_total_cloud,true_total_cloud_predicted_water,true_water_predicted_total_cloud,true_water_predicted_water,overall_binary_accuracy,balanced_binary_accuracy,total_cloud_accuracy,water_accuracy,total_cloud_user_accuracy,water_user_accuracy,total_cloud_f1,water_f1,dataset_csv,model_path
3,held_out_geneva,geneva,random_forest,test,2513,2513,0,1363,1150,1502,1011,1069,294,433,717,0.7107043374452845,0.7038888002807107,0.7842993396918562,0.6234782608695653,0.7117177097203728,0.7091988130563798,0.7462478184991274,0.6635816751503933,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/RF_best_all_general.pkl
3,held_out_geneva,geneva,random_forest,train,10137,10137,0,5437,4700,5437,4700,5437,0,0,4700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/RF_best_all_general.pkl
3,held_out_geneva,geneva,xgboost,loso,16150,16150,0,10150,6000,8799,7351,6814,3336,1985,4015,0.6705263157894736,0.6702483579638752,0.6713300492610837,0.6691666666666667,0.774406182520741,0.5461841926268535,0.7191936249934033,0.6014530746760542,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/XGB_best_all_general.pkl
3,held_out_geneva,geneva,xgboost,test,2513,2513,0,1363,1150,1543,970,1071,292,472,678,0.6959808993235177,0.6876659542569141,0.7857666911225238,0.5895652173913043,0.6941023979261179,0.6989690721649484,0.7370956641431521,0.6396226415094339,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/XGB_best_all_general.pkl
3,held_out_geneva,geneva,xgboost,train,10137,10137,0,5437,4700,5437,4700,5437,0,0,4700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/XGB_best_all_general.pkl
4,held_out_greifensee,greifensee,decision_tree,loso,1606,1606,0,556,1050,934,672,451,105,483,567,0.6338729763387297,0.6755755395683454,0.8111510791366906,0.54,0.4828693790149893,0.84375,0.6053691275167785,0.6585365853658537,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/DT_best_all_general.pkl
4,held_out_greifensee,greifensee,decision_tree,test,5442,5442,0,3312,2130,3361,2081,2432,880,929,1201,0.6675854465270121,0.6490746410832142,0.7342995169082126,0.563849765258216,0.7235941684022612,0.577126381547333,0.7289075378390529,0.5704108287817621,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/DT_best_all_general.pkl
4,held_out_greifensee,greifensee,decision_tree,train,21752,21752,0,13082,8670,13127,8625,13067,15,60,8610,0.9965520411916146,0.9959664855537258,0.9988533863323651,0.9930795847750865,0.9954292679210787,0.9982608695652174,0.9971383875767866,0.9956634865568084,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/DT_best_all_general.pkl
4,held_out_greifensee,greifensee,random_forest,loso,1606,1606,0,556,1050,897,709,520,36,377,673,0.7428393524283935,0.788102089756766,0.935251798561151,0.6409523809523809,0.5797101449275363,0.9492242595204513,0.7157604955264969,0.7652075042637863,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/RF_best_all_general.pkl
4,held_out_greifensee,greifensee,random_forest,test,5442,5442,0,3312,2130,3376,2066,2543,769,833,1297,0.7056229327453142,0.6883670987276316,0.7678140096618358,0.6089201877934273,0.7532582938388626,0.627783155856728,0.7604665071770335,0.6182078169685414,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/RF_best_all_general.pkl
4,held_out_greifensee,greifensee,random_forest,train,21752,21752,0,13082,8670,13082,8670,13082,0,0,8670,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/RF_best_all_general.pkl
4,held_out_greifensee,greifensee,xgboost,loso,1606,1606,0,556,1050,908,698,537,19,371,679,0.7571606475716065,0.8062470023980814,0.9658273381294964,0.6466666666666666,0.5914096916299559,0.9727793696275072,0.7336065573770492,0.7768878718535469,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/XGB_best_all_general.pkl
