number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
47,0.764536086065474,2026-08-26 17:27:25.567267,2026-08-26 17:27:26.579151,0 days 00:00:01.011884,5.182941046489236e-09,,entropy,17,0.8,2,13,best,0.764536086065474,0.005873038588587797,"[0.7729187727430479, 0.7620049198096982, 0.7551802610289591, 0.7673166194394153, 0.7652598573062491]",COMPLETE
48,0.7246448917678003,2026-08-26 17:27:26.579475,2026-08-26 17:27:27.524741,0 days 00:00:00.945266,7.0418244779526495e-09,,entropy,13,0.8,1,13,best,0.7246448917678003,0.010203870798556893,"[0.7192084016269046, 0.7319669350303354, 0.7405263910512834, 0.7194607613742369, 0.7120619697562413]",COMPLETE
49,0.6941162657886544,2026-08-26 17:27:27.525053,2026-08-26 17:27:27.771177,0 days 00:00:00.246124,3.732807059831021e-09,,entropy,17,log2,5,51,best,0.6941162657886544,0.010666844891292134,"[0.7036907888532674, 0.6986850600200748, 0.7054857766377766, 0.6822666455460422, 0.6804530578861109]",COMPLETE
50,0.76490486483543,2026-08-26 17:27:27.771491,2026-08-26 17:27:28.785301,0 days 00:00:01.013810,8.63035739130916e-09,,entropy,16,0.8,1,5,best,0.76490486483543,0.0070179927222491275,"[0.7634997119357118, 0.773373089641254, 0.7655197289911694, 0.7695134530842621, 0.7526183405247527]",COMPLETE
51,0.7648205395877014,2026-08-26 17:27:28.785705,2026-08-26 17:27:29.798422,0 days 00:00:01.012717,7.255738554448457e-09,,entropy,16,0.8,1,4,best,0.7648205395877014,0.010244891791588509,"[0.7676391633040076, 0.7759591013615953, 0.7674001882909175, 0.7677187874152117, 0.7453854575667749]",COMPLETE
52,0.752365903270143,2026-08-26 17:27:29.798757,2026-08-26 17:27:30.786253,0 days 00:00:00.987496,2.110220686775117e-09,,entropy,15,0.8,1,17,best,0.752365903270143,0.013887263410544599,"[0.7429118164390979, 0.7784246300502403, 0.7456893306171856, 0.7545427219330049, 0.7402610173111862]",COMPLETE
53,0.6432205607618996,2026-08-26 17:27:30.786591,2026-08-26 17:27:30.998301,0 days 00:00:00.211710,1.037684923052487e-08,,entropy,10,sqrt,1,4,best,0.6432205607618996,0.014906357777407153,"[0.6584338007648879, 0.6275290650948931, 0.6535772917168476, 0.6228333816649954, 0.653729264567874]",COMPLETE
54,0.6612188525254625,2026-08-26 17:27:30.998628,2026-08-26 17:27:31.758574,0 days 00:00:00.759946,1.8338924049164492e-09,,entropy,16,0.8,68,90,best,0.6612188525254625,0.008650999591046519,"[0.6675110634631016, 0.6627518176302979, 0.6683422951298446, 0.6629582024876429, 0.6445308839164261]",COMPLETE
55,0.6520948830539915,2026-08-26 17:27:31.758893,2026-08-26 17:27:32.694097,0 days 00:00:00.935204,2.2900308411351124e-08,,entropy,13,,78,13,best,0.6520948830539915,0.013246904756914623,"[0.6508530253622565, 0.6689579861385527, 0.657603608032879, 0.6545282073193482, 0.6285315884169212]",COMPLETE
56,0.7606671946455582,2026-08-26 17:27:32.694444,2026-08-26 17:27:33.685172,0 days 00:00:00.990728,9.45229752327679e-09,,entropy,18,0.8,5,2,best,0.7606671946455582,0.005410258220183142,"[0.7578370170818878, 0.7612828806581534, 0.7698039555072705, 0.7611128611426322, 0.7532992588378469]",COMPLETE
57,0.6635243137768885,2026-08-26 17:27:33.685531,2026-08-26 17:27:33.752668,0 days 00:00:00.067137,1.9486310717598687e-09,,entropy,15,0.8,16,18,random,0.6635243137768885,0.013641498220427596,"[0.669478349744789, 0.6575342956856789, 0.6820112535483371, 0.6674733491045758, 0.6411243208010619]",COMPLETE
58,0.7062672356858751,2026-08-26 17:27:33.752980,2026-08-26 17:27:34.648065,0 days 00:00:00.895085,1.3137041657798417e-08,,entropy,12,0.8,3,6,best,0.7062672356858751,0.012363455276328808,"[0.68392816604415, 0.7202775954706903, 0.712959924087122, 0.7104631567850177, 0.7037073360423957]",COMPLETE
59,0.7420355921121714,2026-08-26 17:27:34.648414,2026-08-26 17:27:35.126249,0 days 00:00:00.477835,2.573437704285915e-08,,entropy,18,0.4,7,11,best,0.7420355921121714,0.01116812809692734,"[0.7435605815042492, 0.7222107263763422, 0.7506099816482407, 0.7542288139832692, 0.7395678570487555]",COMPLETE
60,0.7471885092003305,2026-08-26 17:27:35.126559,2026-08-26 17:27:36.570869,0 days 00:00:01.444310,5.215297321726843e-09,,entropy,16,,11,15,best,0.7471885092003305,0.008597504431477162,"[0.7467070033029081, 0.7459986476822947, 0.758700194809497, 0.7519379663638041, 0.7325987338431487]",COMPLETE
61,0.7606671946455582,2026-08-26 17:27:36.571249,2026-08-26 17:27:37.559970,0 days 00:00:00.988721,8.475805451019175e-09,,entropy,18,0.8,5,2,best,0.7606671946455582,0.005410258220183142,"[0.7578370170818878, 0.7612828806581534, 0.7698039555072705, 0.7611128611426322, 0.7532992588378469]",COMPLETE
62,0.7685212206089935,2026-08-26 17:27:37.560348,2026-08-26 17:27:38.557731,0 days 00:00:00.997383,1.4770433116993158e-08,,entropy,18,0.8,4,5,best,0.7685212206089935,0.009512434727999342,"[0.7650172208611233, 0.777827724192857, 0.7794452896234177, 0.7670251987625903, 0.7532906696049791]",COMPLETE
63,0.7356233362628857,2026-08-26 17:27:38.558105,2026-08-26 17:27:39.506010,0 days 00:00:00.947905,3.339833144572391e-08,,entropy,23,0.8,14,5,best,0.7356233362628857,0.011858105601441217,"[0.7291147549620934, 0.726614616561425, 0.7513416303538637, 0.7484160494202383, 0.7226296300168075]",COMPLETE
64,0.6073283292434573,2026-08-26 17:27:39.506374,2026-08-26 17:27:39.764017,0 days 00:00:00.257643,0.002236926487987935,,entropy,14,log2,1,10,best,0.6073283292434573,0.009676361203145058,"[0.6149025334767355, 0.5978783769285895, 0.6067678150610067, 0.6211600998005132, 0.5959328209504411]",COMPLETE
65,0.7425017311350673,2026-08-26 17:27:39.764310,2026-08-26 17:27:40.728161,0 days 00:00:00.963851,1.5668436174896936e-08,,entropy,16,0.8,8,23,best,0.7425017311350673,0.010514456995918669,"[0.7335559426956326, 0.7570992670682385, 0.7519941633625234, 0.7401676983648929, 0.7296915841840494]",COMPLETE
66,0.7607085194758357,2026-08-26 17:27:40.728486,2026-08-26 17:27:41.733811,0 days 00:00:01.005325,1.5210928728484276e-09,,entropy,17,0.8,4,9,best,0.7607085194758357,0.005587374511149575,"[0.7517697608474626, 0.7669747026485497, 0.7596311866304357, 0.7663739722793097, 0.7587929749734208]",COMPLETE
67,0.7083531236387477,2026-08-26 17:27:41.734138,2026-08-26 17:27:41.985591,0 days 00:00:00.251453,3.635817454598147e-09,,log_loss,22,sqrt,11,15,best,0.7083531236387477,0.013891949057634788,"[0.7176393618373806, 0.6888539279255134, 0.7193373441729539, 0.7217066308517336, 0.6942283534061566]",COMPLETE
68,0.7736987901892468,2026-08-26 17:27:41.985886,2026-08-26 17:27:43.007202,0 days 00:00:01.021316,6.288482744730571e-09,,entropy,20,0.8,3,7,best,0.7736987901892468,0.007231959144596412,"[0.7673993578972568, 0.7831351893912929, 0.7807074059507803, 0.7726378917656552, 0.7646141059412489]",COMPLETE
69,0.7064280839372771,2026-08-26 17:27:43.007572,2026-08-26 17:27:43.086677,0 days 00:00:00.079105,1.443971141533029e-08,,entropy,20,0.8,7,20,random,0.7064280839372771,0.010473452984774914,"[0.7027851406933472, 0.7019050537051864, 0.7255437133852823, 0.7076384065485669, 0.6942681053540021]",COMPLETE
