number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
58,0.7903343054691847,2026-08-26 14:04:36.955395,2026-08-26 14:04:37.350579,0 days 00:00:00.395184,6.104173321168967e-06,,entropy,21,0.8,9,4,best,0.7903343054691847,0.0047844687439877395,"[0.7857508241009352, 0.7849445105530336, 0.7893204373774952, 0.797054848692309, 0.7946009066221508]",COMPLETE
59,0.7753721010744652,2026-08-26 14:04:37.350904,2026-08-26 14:04:37.739413,0 days 00:00:00.388509,3.533210691444276e-05,,entropy,26,0.8,12,14,best,0.7753721010744652,0.01462524607380452,"[0.8025584648135714, 0.7654450164253679, 0.7698479240055279, 0.7613660339645446, 0.7776430661633137]",COMPLETE
60,0.8116295202979421,2026-08-26 14:04:37.739745,2026-08-26 14:04:38.167804,0 days 00:00:00.428059,8.37925530188253e-07,,entropy,24,0.8,1,8,best,0.8116295202979421,0.008905371528893017,"[0.8198672729645251, 0.7980647514667513, 0.8055879709886682, 0.8219797557444212, 0.8126478503253448]",COMPLETE
61,0.8234155655168663,2026-08-26 14:04:38.168148,2026-08-26 14:04:38.579974,0 days 00:00:00.411826,5.045770404424941e-07,,entropy,24,0.8,1,7,best,0.8234155655168663,0.02010789584862356,"[0.8412655430798998, 0.7880966996307041, 0.8210635869119564, 0.8220648222092849, 0.8445871757524865]",COMPLETE
62,0.8043396016287521,2026-08-26 14:04:38.580300,2026-08-26 14:04:38.987698,0 days 00:00:00.407398,2.630712860709499e-07,,entropy,24,0.8,6,8,best,0.8043396016287521,0.007686417460889327,"[0.8100132476427752, 0.7922966162292218, 0.8081747249557715, 0.7985263843109304, 0.8126870350050607]",COMPLETE
63,0.7943370174877993,2026-08-26 14:04:38.988052,2026-08-26 14:04:39.380820,0 days 00:00:00.392768,5.587618712858482e-08,,entropy,22,0.8,8,2,best,0.7943370174877993,0.004257665670751285,"[0.7970178785086403, 0.7872246663676657, 0.7916664081608017, 0.7973811311879991, 0.7983950032138892]",COMPLETE
64,0.8021637807950512,2026-08-26 14:04:39.381140,2026-08-26 14:04:39.796364,0 days 00:00:00.415224,7.016468591735365e-08,,entropy,26,0.8,1,15,best,0.8021637807950512,0.01136878467391363,"[0.8097145443601116, 0.7816766098401651, 0.8149870398385192, 0.800628854592976, 0.8038118553434845]",COMPLETE
65,0.7979827280252704,2026-08-26 14:04:39.796673,2026-08-26 14:04:40.188375,0 days 00:00:00.391702,8.642466682005532e-07,,entropy,24,0.8,5,20,best,0.7979827280252704,0.00857594283684121,"[0.8066643555065478, 0.7823710860906664, 0.8018290672651499, 0.803338428904755, 0.7957107023592327]",COMPLETE
66,0.7748515537048803,2026-08-26 14:04:40.188692,2026-08-26 14:04:40.570195,0 days 00:00:00.381503,2.8004478728462134e-06,,entropy,20,0.8,11,22,best,0.7748515537048803,0.012798458378651106,"[0.7842196925244868, 0.7506331973810436, 0.7865375796588828, 0.7776871684662282, 0.7751801304937606]",COMPLETE
67,0.7885287407016094,2026-08-26 14:04:40.570561,2026-08-26 14:04:40.909935,0 days 00:00:00.339374,3.7531583493180403e-07,,gini,22,0.8,8,7,best,0.7885287407016094,0.006781058927966441,"[0.7954062836094002, 0.7766888488108568, 0.7881248056697189, 0.7949447434696008, 0.7874790219484705]",COMPLETE
68,0.7444285963121166,2026-08-26 14:04:40.910242,2026-08-26 14:04:41.090560,0 days 00:00:00.180318,0.00017837425924705158,,entropy,26,0.4,15,15,best,0.7444285963121166,0.0109482406020939,"[0.7525636498009588, 0.7328230681625163, 0.7614911387796551, 0.7403666046012121, 0.7348985202162407]",COMPLETE
69,0.6923727690447831,2026-08-26 14:04:41.090852,2026-08-26 14:04:41.126458,0 days 00:00:00.035606,1.5354460689549413e-06,,entropy,21,0.8,13,2,random,0.6923727690447831,0.01265669856385375,"[0.6912133667438557, 0.6868409532964183, 0.6784896668592836, 0.6891576508237439, 0.7161622075006138]",COMPLETE
70,0.8043396016287521,2026-08-26 14:04:41.126726,2026-08-26 14:04:41.532122,0 days 00:00:00.405396,5.457250104636412e-07,,entropy,24,0.8,6,9,best,0.8043396016287521,0.007686417460889327,"[0.8100132476427752, 0.7922966162292218, 0.8081747249557715, 0.7985263843109304, 0.8126870350050607]",COMPLETE
71,0.8148038496626281,2026-08-26 14:04:41.532484,2026-08-26 14:04:41.947107,0 days 00:00:00.414623,5.8103242376367995e-05,,entropy,23,0.8,2,13,best,0.8148038496626281,0.01713040744412035,"[0.8366264772533163, 0.7863978481150121, 0.8110404488335133, 0.8123471899691067, 0.8276072841421921]",COMPLETE
72,0.8121235014219147,2026-08-26 14:04:41.947416,2026-08-26 14:04:42.362017,0 days 00:00:00.414601,5.501956737414525e-05,,entropy,25,0.8,3,5,best,0.8121235014219147,0.012457072844072326,"[0.8173045161336164, 0.7910972470309465, 0.8096080137299078, 0.8131779436543783, 0.8294297865607249]",COMPLETE
73,0.8078817220662557,2026-08-26 14:04:42.362330,2026-08-26 14:04:42.774775,0 days 00:00:00.412445,0.00021938177856859788,,entropy,25,0.8,4,5,best,0.8078817220662557,0.01056632404530084,"[0.8023066856667649, 0.7910265967768774, 0.8165481387217017, 0.808712453225468, 0.8208147359404672]",COMPLETE
