number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
56,0.7726891488004789,2026-08-27 05:39:12.882620,2026-08-27 05:39:13.946724,0 days 00:00:01.064104,1.6806734202260689e-06,,gini,25,,4,6,best,0.7726891488004789,0.006277316846702187,"[0.7738953465609887, 0.7821531904496862, 0.7628412290883517, 0.7701946131940444, 0.7743613647093235]",COMPLETE
57,0.6981445664556529,2026-08-27 05:39:13.947115,2026-08-27 05:39:14.033092,0 days 00:00:00.085977,3.5450106702366812e-06,,gini,27,,10,5,random,0.6981445664556529,0.007184666642095001,"[0.7009906291888034, 0.6862843955294675, 0.6958675970073799, 0.699295406215669, 0.7082848043369454]",COMPLETE
58,0.7618976871773128,2026-08-27 05:39:14.033409,2026-08-27 05:39:15.062536,0 days 00:00:01.029127,4.1490015400543845e-07,,gini,24,,8,11,best,0.7618976871773128,0.007288668499142846,"[0.7668693235259414, 0.7735218487450357, 0.7533517912476237, 0.7574530076538935, 0.7582924647140693]",COMPLETE
59,0.6784820096802763,2026-08-27 05:39:15.062922,2026-08-27 05:39:15.883686,0 days 00:00:00.820764,9.833106161537544e-07,,gini,24,,58,2,best,0.6784820096802763,0.007429440645040203,"[0.675046026638015, 0.6922981352420722, 0.6784650376015858, 0.6764304162841578, 0.6701704326355508]",COMPLETE
60,0.7167627642927068,2026-08-27 05:39:15.884024,2026-08-27 05:39:16.870809,0 days 00:00:00.986785,2.425069810697089e-05,,gini,27,,4,87,best,0.7167627642927068,0.011138557415062955,"[0.712384481352219, 0.7352768964318912, 0.7198584618095504, 0.7010636156149213, 0.7152303662549518]",COMPLETE
61,0.7726891488004789,2026-08-27 05:39:16.871140,2026-08-27 05:39:17.947158,0 days 00:00:01.076018,1.4452582276107937e-06,,gini,25,,4,7,best,0.7726891488004789,0.006277316846702187,"[0.7738953465609887, 0.7821531904496862, 0.7628412290883517, 0.7701946131940444, 0.7743613647093235]",COMPLETE
62,0.7468636054143161,2026-08-27 05:39:17.947574,2026-08-27 05:39:18.938613,0 days 00:00:00.991039,3.324371980404003e-06,,gini,26,,13,6,best,0.7468636054143161,0.008332713434333772,"[0.7479814835967415, 0.761711611607046, 0.739960719384542, 0.7380461511952384, 0.7466180612880127]",COMPLETE
63,0.7698373890885618,2026-08-27 05:39:18.938981,2026-08-27 05:39:20.012529,0 days 00:00:01.073548,3.296345285107579e-07,,gini,28,,4,11,best,0.7698373890885618,0.01111112588423325,"[0.7710669965037219, 0.7880173451023113, 0.7553751260332637, 0.7617127251057588, 0.7730147526977532]",COMPLETE
64,0.7617985571702331,2026-08-27 05:39:20.012846,2026-08-27 05:39:21.044725,0 days 00:00:01.031879,6.199733357223718e-07,,gini,23,,8,2,best,0.7617985571702331,0.006813367127639473,"[0.7671598911898284, 0.7720533352276496, 0.7533517912476237, 0.7574530076538935, 0.7589747605321703]",COMPLETE
65,0.7250090247735306,2026-08-27 05:39:21.045089,2026-08-27 05:39:21.263142,0 days 00:00:00.218053,1.2662135118334646e-06,,gini,25,sqrt,3,15,best,0.7250090247735306,0.008990054870224876,"[0.7160623757443566, 0.7203419550285552, 0.7266202254409958, 0.7203412825626706, 0.7416792850910752]",COMPLETE
66,0.7420567244873408,2026-08-27 05:39:21.263441,2026-08-27 05:39:22.243896,0 days 00:00:00.980455,9.057521738640706e-06,,gini,28,,15,22,best,0.7420567244873408,0.01068062816662148,"[0.7495940902714349, 0.7571072230090542, 0.7321440817165423, 0.7283550593246485, 0.7430831681150245]",COMPLETE
67,0.7643625129733187,2026-08-27 05:39:22.244218,2026-08-27 05:39:23.288155,0 days 00:00:01.043937,2.9417730833219405e-06,,gini,24,,7,5,best,0.7643625129733187,0.008260794685612569,"[0.7697157301304322, 0.7744573153906066, 0.7548152481301645, 0.7542678387483311, 0.7685564324670588]",COMPLETE
68,0.7562015070351235,2026-08-27 05:39:23.288530,2026-08-27 05:39:24.298982,0 days 00:00:01.010452,2.2223821583234248e-07,,gini,26,,10,9,best,0.7562015070351235,0.008536947074535634,"[0.7611119421167988, 0.7705459142302571, 0.748199826726375, 0.7486802992550133, 0.752469552847173]",COMPLETE
69,0.7165803291234571,2026-08-27 05:39:24.299357,2026-08-27 05:39:24.402651,0 days 00:00:00.103294,5.8236391195336e-07,,gini,23,,4,6,random,0.7165803291234571,0.008014804349861869,"[0.710271654100004, 0.7230380150794571, 0.7049793222871178, 0.717860717405807, 0.7267519367448999]",COMPLETE
