number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
39,0.8278184863021233,2026-08-25 15:58:12.452377,2026-08-25 15:58:55.691238,0 days 00:00:43.238861,True,,entropy,24.0,0.5,7,6,900,0.8278184863021233,0.004246688754036661,"[0.8271455599360604, 0.8271363650453232, 0.8226384257175438, 0.8356174232115552, 0.8265546576001338]",COMPLETE
40,0.8566582890608136,2026-08-25 15:58:55.691594,2026-08-25 16:00:01.997888,0 days 00:01:06.306294,False,,entropy,48.0,0.7,3,10,600,0.8566582890608136,0.0062838269661743195,"[0.8545658383951452, 0.8662340647210408, 0.8474622402639671, 0.8602827326565071, 0.8547465692674087]",COMPLETE
41,0.8609809666761776,2026-08-25 16:00:01.998225,2026-08-25 16:25:12.753814,0 days 00:25:10.755589,False,,entropy,,0.5,3,8,600,0.8609809666761776,0.006599277699074102,"[0.8643305581844395, 0.8712436832651397, 0.8531068335284179, 0.8614841126591064, 0.8547396457437851]",COMPLETE
42,0.8592598259705678,2026-08-25 16:25:12.754148,2026-08-25 16:26:10.112373,0 days 00:00:57.358225,False,,entropy,,0.5,4,4,700,0.8592598259705678,0.0049351047291927505,"[0.8623252232445338, 0.8657371775157028, 0.8511233053441919, 0.8598279009210339, 0.8572855228273765]",COMPLETE
43,0.8096633006006823,2026-08-25 16:26:10.112743,2026-08-25 16:27:00.209902,0 days 00:00:50.097159,False,,entropy,,0.5,18,9,700,0.8096633006006823,0.005367063926018683,"[0.8043836869666373, 0.8118587382589225, 0.8033701369217647, 0.8180776549761622, 0.8106262858799241]",COMPLETE
44,0.8525432164275341,2026-08-25 16:27:00.210231,2026-08-25 16:27:40.775795,0 days 00:00:40.565564,False,balanced,gini,,0.5,1,12,600,0.8525432164275341,0.004767802783084823,"[0.851650241043966, 0.8599925547331941, 0.8455978280879837, 0.8548655896919913, 0.8506098685805351]",COMPLETE
45,0.8458726403097143,2026-08-25 16:27:40.776148,2026-08-25 16:28:28.805961,0 days 00:00:48.029813,False,,entropy,,0.5,5,17,600,0.8458726403097143,0.00531190965341714,"[0.8456832146196157, 0.8534346315723248, 0.8388209500312102, 0.8498404293171812, 0.8415839760082401]",COMPLETE
46,0.8204466318353884,2026-08-25 16:28:28.806284,2026-08-25 16:29:30.370739,0 days 00:01:01.564455,False,,entropy,16.0,0.5,2,40,800,0.8204466318353884,0.0058338244622970405,"[0.8137769952006649, 0.8258538453455175, 0.8167308827850368, 0.8288622530992615, 0.8170091827464613]",COMPLETE
47,0.731180855670025,2026-08-25 16:29:30.371072,2026-08-25 16:31:01.095472,0 days 00:01:30.724400,False,balanced,gini,,1.0,1,37,700,0.731180855670025,0.006484719410398987,"[0.730465522332369, 0.7416986741153648, 0.7239412454364293, 0.7345591179218252, 0.7252397185441363]",COMPLETE
48,0.821985751585158,2026-08-25 16:31:01.095839,2026-08-25 16:31:16.857368,0 days 00:00:15.761529,False,,entropy,48.0,sqrt,3,28,500,0.821985751585158,0.004854691284604458,"[0.8179285462385585, 0.8226015947146458, 0.8182789551655706, 0.8311146276466604, 0.8200050341603543]",COMPLETE
49,0.8366734915344836,2026-08-25 16:31:16.857702,2026-08-25 16:31:36.189208,0 days 00:00:19.331506,False,,entropy,32.0,log2,5,2,600,0.8366734915344836,0.004232959515461239,"[0.8388299542915515, 0.8362975346273155, 0.8339656286375607, 0.8433434386255058, 0.8309309014904848]",COMPLETE
